city,status,sub_category,big_category,start,reason,end,comments
Baltimore,non-present,Maryland,United States,1880s,"Completion of Transcontinental railroad, escape from anti-Chinese riots in the West",1970,"Only one restaurant survived circa 1970, The Chinatown Cafe, which was replaced by Zhongshan in 2009"
Boston,present,Massachusetts,United States,1870s,Chinese laborers were brought to break strike at Sampson Shoe Factory in North Adams,,Built on top of a landfill
Chicago,present,Illinois,United States,1869,"Completion of Transcontinental railroad, escape from anti-Chinese violence in the West",,
Cleveland,present,Ohio,United States,1920s,"Work on railroads, downtown rapid development",,Now known as Asiatown after influx of Koreans and Vietnamese
Denver,non-present,Colorado,United States,1869,Work in mining and laundries,1880,"Destroyed by ""stamp out the Yellow Plague"" race riots, fires, and ransacking in 1880, "
Detroit,non-present,Michigan,United States,1872,"Work on railroads, restaurants, and gorceries",1960s,Condemned by Detroit Housing Comission in 1960s; Chinese Americans were driven away by 1967 rebellion and murder of Vincent Chin
Honolulu,present,Hawaii,United States,1800s,Laborers were imported to work on sugar plantations,,"Quarantined for one week in 1899 for bubonic plague, place where Sun Yat-Sen planned Chinese Revolution of 1911 in 1879"
Houston,present,Texas,United States,1930s,Cantonese immigrants moved from former Houston Chinatown for cheaper land,,
Locke,present,California,United States,1912,Workers contracted to build levees and buildings in response to Swampland Reclamation Act of 1861,,"Nicknamed ""California's Monte Carlo"" for its gambling halls, brothels, speakeasies, and opium dens, now a predominantly white neighborhood"
Los Angeles,present,California,United States,1880s,Work on first transcontinental railroad,,"Original was demolished for Union Station after condemnation by Supreme Court, new Chinatown was built in 1938"
Monterey Park,present,California,United States,1990s,"Potato and flower farming in 1920, then settlement of well-educated and affluent Asian Americans in 1970s",,"Considered the ""First Suburban Chinatown"" with dominantly Mandarin speaking businesses"
Montville,present,Connecticut,United States,2001,Chinese workers moved from New York  due to unemployment after 9/11 attacks,,
Newark,non-present,New Jersey,United States,1875,Work in small businesses,1920s,"Neighborhood centered around Mulberry Arcade, which has not been revived since federal opium raids in the 1920s"
New Orleans,non-present,Louisiana,United States,1880s,Escape after being imported by Cantonese contract laborers as low cost replacement for slave labor in plantations,1937,Destroyed by Works Progress Administration in 1937
Manhattan NYC,present,New York,United States,1870s,Escape from racial discrimination on U.S. West Coast,,
Brooklyn NYC,present,New York,United States,1986,Escape from Manhattan Chinatown's higher rent,,
Queens NYC,present,New York,United States,1970s,Taiwanese immigration and Mandarin alternative to Manhattan's Cantonese dominated Chinatown,,Originally named Little Taipei until influx of other Chinese immigrants
Oakland,present,California,United States,1850s,"Work on first Transcontinental Railroad, displaced from 1906 San Francisco earthquake",,"Chinese settlement was followed by Japanese (1890s), Koreans (1900s), Filipinos (1930s and 40s), and Southeast Asians (1970s)"
Oklahoma City,non-present,Oklahoma,United States,1870s,Workers came from California,,"The Chinese were rumored to have lived in a tunnel system underneath downtown; since the 1980s, Asia District has sprung due to an influx of Vietnamese refugees"
Philadelphia,present,Pennsylvania,United States,1870s,Cantonese immigration in 1870s and urban renewal in 1960s,,
Phoenix,non-present,Arizona,United States,1870s,"Work on railroads, then restaurants, laundries, groceries",1945,Larger corporations began buying Chinese shops and Chinese immigrants' children began attending American schools
Pittsburgh,non-present,Pennsylvania,United States,1870s,Gold Rush and work in small stores and resaturants,1930s,"Rapidly vanishing since 1930s, often a site of Chinese gang wars and considered a ""ghetto-like area"""
Portland,present,Oregon,United States,1989,"Officially designated Chinatown-Japantown in 1989 as part of a revitalization effort; Chinese first came to Portland in the 1850s to work in timber, mining, and railroads",,Previously Japantown; revitalization was an attempt to reduce crime and drug use given the large concentration of social services and homeless centers
Providence,non-present,Rhode Island,United States,1890s,No data,1951,"Rumored to have burned to the ground in 1901 by ""mysterious fire"" caused by kerosene stove, rebuilt, then demolished by 1951 after discovery of opium and anti-Chinese hostility"
Richardson,present,Texas,United States,1980s,Community of Chinese investors bought the shopping complex,,
Salem,non-present,Oregon,United States,1870s,Chinese movement from California goldfields to live in hovels abandoned by white tenants,1903,Considered by non-Asians an area of sexually transmitted diseases and was condemned and ended by 1903
St. Louis,non-present,Missouri,United States,1869,Work in factories,1966,Demolished for Busch Memorial Stadium in 1966
Salt Lake City,present,Utah,United States,1860s,Work in mining camps and on transcontinental railroad,,Chinatown existed in Plum Alley until 1952 and was demolished for Regent Street Parking Terrace; then rebuilt in 2011 as a means to bring together the Asian American community
San Diego,present,California,United States,1860s,Settlement by abalone fishermen,,"Considered a historic contribution with structures, no longer particularly high Chinese population"
San Francisco,present,California,United States,1848,"SF was the only region through which Chinese people inherit and inhabit a city, 1849 Gold Rush, work in mines, work on the Transcontinental Railroad, sex work",,"Quarantined in 1900 when Chinese man died of bubonic plague, destroyed in 1906 earthquake and rebuilt"
San Jose,non-present,California,United States,1866,No data,1930s,"Five Chinatowns existed in San Jose until the 1930s, the first was burned down because of anti-Chinese sentiments"
Seattle,present,Washington,United States,1860s,Settled to work on waterfront,,Also known as Chinatown-International district with Japantown and Little Saigon
Spokane,non-present,Washington,United States,1883,Network of alleys after railroad came through in 1883,1940s,"Abandoned by 1940s, demolished in Spokane's Expo of 1974"
Stockton,non-present,California,United States,1910,Work in shops in areas designated by housing discrimination,1970,Paved over in 1960s for the Crosstown Freeway
Tacoma ,non-present,Washington,United States,1870s,Work on railroads,1885,"Chinese driven out by whites (""dragged out on to the street in a raid and escorted to the train station"") and Chinatown was burned to the ground in 1885"
Washington DC,present,District of Columbia,United States,1930s,Displacement from Washington's original Chinatown ,,Many left for suburbs after 1968 riots
Adelaide,present,South Australia,Australia,1847,Chinese laborers arrived from Singapore to work as indentured sheperds,,"Influx of Asian migrants grew in 1970s, when Chinatown more closely resembled what it is today"
Brisbane,present,Queensland,Australia,1987,Opened as a mall by Mayor Sallyanne Atkinson,,Began as mall but has expanded to more businesses; Jackie Chan's movie First Strike was partially filmed here in 1996
Darwin,non-present,Northern Territory,Australia,1874,Chinese laborers moved from South Australia to escape anti-Chinese sentiments and extend commercial base,1940s,"Partly demolished in 1913 due to being seen as a ""slum"" with ""cramped unhygienic conditions,"" disappeared by 1940s during Japanese bombings"
Gold Coast,present,Queensland,Australia,2012,Part of revitalisation of Southpart as a central business district for the Gold Coast,,
Melbourne,present,Victoria,Australia,1850s,Victorian gold rush,,The oldest continuous Chinese settlemet in the western world (since San Francisco's Chinatown was destroyed in 1906 earthquake)
Perth,present,Western Australia,Australia,1980s,"Built to ""mark the presence of Chinese in Western Australia""",,
Sydney,present,New South Wales,Australia,1850s,Men came to buy supplies to dig gold,,"First established in the Rocks, moved near Darling Harbour, then finally to current location in 1920s"
Antwerp,present,Belgium,Europe,1950s,"Asian (Chinese, Neapli, Indonesian, Filipino) migration post WWII",,
Paris,present,France,Europe,1970s,"Vietnamese refugees came from Vietnam War, then ethnic Chinese from Vietnam, Laos, and Cambodia fleeing communist takeovers",,
Milan,present,Italy,Europe,1920s,Work in small textile and leather workshops,,
